INFO:     Started server process [9788]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-06-20 20:29:46,829 | INFO | university_finder | GET /support/my \u2192 200 (4.6ms)
2026-06-20 20:30:48,151 | INFO | university_finder | GET /support/my \u2192 200 (5.6ms)
2026-06-20 20:31:49,150 | INFO | university_finder | GET /support/my \u2192 401 (2.1ms)
2026-06-20 20:31:49,161 | INFO | university_finder | POST /auth/refresh \u2192 200 (4.0ms)
2026-06-20 20:31:49,173 | INFO | university_finder | GET /support/my \u2192 200 (6.6ms)
2026-06-20 20:32:50,143 | INFO | university_finder | GET /support/my \u2192 200 (5.3ms)
2026-06-20 20:33:51,142 | INFO | university_finder | GET /support/my \u2192 200 (6.1ms)
2026-06-20 20:34:52,158 | INFO | university_finder | GET /support/my \u2192 200 (8.3ms)
2026-06-20 20:35:53,148 | INFO | university_finder | GET /support/my \u2192 200 (8.8ms)
2026-06-20 20:36:54,154 | INFO | university_finder | GET /support/my \u2192 200 (7.2ms)
2026-06-20 20:37:55,156 | INFO | university_finder | GET /support/my \u2192 200 (5.4ms)
2026-06-20 20:38:56,143 | INFO | university_finder | GET /support/my \u2192 200 (4.9ms)
2026-06-20 20:39:57,148 | INFO | university_finder | GET /support/my \u2192 200 (5.3ms)
2026-06-20 20:39:59,540 | INFO | university_finder | GET /support \u2192 200 (1.2ms)
2026-06-20 20:39:59,575 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (6.1ms)
2026-06-20 20:39:59,576 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (6.6ms)
2026-06-20 20:39:59,831 | INFO | university_finder | GET /favicon.svg \u2192 200 (3.1ms)
2026-06-20 20:39:59,833 | INFO | university_finder | GET /auth/me \u2192 200 (5.9ms)
2026-06-20 20:39:59,860 | INFO | university_finder | GET /notifications/unread-count \u2192 200 (3.6ms)
2026-06-20 20:39:59,872 | INFO | university_finder | GET /support/my \u2192 200 (6.1ms)
2026-06-20 20:40:06,732 | INFO | university_finder | POST /support \u2192 201 (8.3ms)
2026-06-20 20:40:17,542 | INFO | university_finder | GET /admin/users \u2192 200 (2.9ms)
2026-06-20 20:40:17,566 | INFO | university_finder | GET /admin/assets/index-CrygVe23.js \u2192 200 (2.5ms)
2026-06-20 20:40:17,967 | INFO | university_finder | GET /admin/favicon.svg \u2192 200 (2.2ms)
2026-06-20 20:40:18,085 | INFO | university_finder | GET /admin/students \u2192 200 (7.1ms)
2026-06-20 20:40:18,093 | INFO | university_finder | GET /admin/stats \u2192 200 (17.1ms)
2026-06-20 20:40:20,367 | INFO | university_finder | GET /support \u2192 200 (10.6ms)
2026-06-20 20:40:20,377 | INFO | university_finder | GET /support/stats \u2192 200 (17.0ms)
2026-06-20 20:40:27,498 | INFO | university_finder | POST /support/3/reply \u2192 200 (9.4ms)
2026-06-20 20:40:27,512 | INFO | university_finder | GET /support/stats \u2192 200 (9.3ms)
2026-06-20 20:40:30,832 | INFO | university_finder | GET /notifications/unread-count \u2192 200 (2.5ms)
2026-06-20 20:40:30,840 | INFO | university_finder | GET /support/my \u2192 200 (6.4ms)
2026-06-20 20:40:40,608 | INFO | university_finder | GET /support \u2192 200 (1.0ms)
2026-06-20 20:40:40,632 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (3.8ms)
2026-06-20 20:40:40,635 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (5.7ms)
2026-06-20 20:40:40,784 | INFO | university_finder | GET /favicon.svg \u2192 200 (3.6ms)
2026-06-20 20:40:40,790 | INFO | university_finder | GET /auth/me \u2192 200 (9.6ms)
2026-06-20 20:40:40,811 | INFO | university_finder | GET /support/my \u2192 200 (6.6ms)
2026-06-20 20:40:59,233 | INFO | university_finder | GET /notifications \u2192 200 (2.8ms)
2026-06-20 20:41:01,482 | INFO | university_finder | GET /support \u2192 200 (1.1ms)
2026-06-20 20:41:01,506 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (2.4ms)
2026-06-20 20:41:01,514 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (1.7ms)
2026-06-20 20:41:01,618 | INFO | university_finder | GET /auth/me \u2192 200 (5.5ms)
2026-06-20 20:41:01,623 | INFO | university_finder | GET /favicon.svg \u2192 200 (2.3ms)
2026-06-20 20:41:01,629 | INFO | university_finder | GET /notifications/unread-count \u2192 200 (1.8ms)
2026-06-20 20:41:01,639 | INFO | university_finder | GET /support/my \u2192 200 (6.7ms)
2026-06-20 20:41:08,153 | INFO | university_finder | GET / \u2192 200 (1.3ms)
2026-06-20 20:41:08,374 | INFO | university_finder | GET /auth/me \u2192 200 (3.5ms)
2026-06-20 20:41:11,380 | INFO | university_finder | GET /applications \u2192 200 (4.8ms)
2026-06-20 20:41:12,440 | INFO | university_finder | GET /subscription-plans \u2192 200 (27.1ms)
2026-06-20 20:41:18,645 | INFO | university_finder | GET /pricing \u2192 200 (1.0ms)
2026-06-20 20:41:18,672 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (4.4ms)
2026-06-20 20:41:18,674 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (4.9ms)
2026-06-20 20:41:18,775 | INFO | university_finder | GET /auth/me \u2192 200 (6.2ms)
2026-06-20 20:41:18,778 | INFO | university_finder | GET /subscription-plans \u2192 200 (11.7ms)
2026-06-20 20:41:18,787 | INFO | university_finder | GET /favicon.svg \u2192 200 (8.2ms)
2026-06-20 20:41:19,772 | INFO | university_finder | GET /pricing \u2192 200 (1.1ms)
2026-06-20 20:41:19,800 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (5.0ms)
2026-06-20 20:41:19,803 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (8.8ms)
2026-06-20 20:41:19,906 | INFO | university_finder | GET /subscription-plans \u2192 200 (10.1ms)
2026-06-20 20:41:19,910 | INFO | university_finder | GET /favicon.svg \u2192 200 (6.9ms)
2026-06-20 20:41:19,911 | INFO | university_finder | GET /auth/me \u2192 200 (9.2ms)
2026-06-20 20:41:20,769 | INFO | university_finder | GET /notifications \u2192 200 (2.6ms)
2026-06-20 20:41:21,962 | INFO | university_finder | GET /pricing \u2192 200 (0.8ms)
2026-06-20 20:41:21,988 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (3.4ms)
2026-06-20 20:41:21,989 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (3.6ms)
2026-06-20 20:41:22,096 | INFO | university_finder | GET /favicon.svg \u2192 200 (6.8ms)
2026-06-20 20:41:22,100 | INFO | university_finder | GET /subscription-plans \u2192 200 (12.5ms)
2026-06-20 20:41:22,106 | INFO | university_finder | GET /auth/me \u2192 200 (16.8ms)
2026-06-20 20:41:52,436 | INFO | university_finder | GET /notifications/unread-count \u2192 200 (2.4ms)
2026-06-20 20:41:53,781 | INFO | university_finder | GET /notifications \u2192 200 (2.7ms)
2026-06-20 20:41:55,424 | INFO | university_finder | GET /pricing \u2192 200 (1.0ms)
2026-06-20 20:41:55,455 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (4.1ms)
2026-06-20 20:41:55,457 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (4.4ms)
2026-06-20 20:41:55,574 | INFO | university_finder | GET /auth/me \u2192 200 (7.6ms)
2026-06-20 20:41:55,575 | INFO | university_finder | GET /subscription-plans \u2192 200 (9.4ms)
2026-06-20 20:41:55,584 | INFO | university_finder | GET /favicon.svg \u2192 200 (5.0ms)
2026-06-20 20:41:56,607 | INFO | university_finder | GET /pricing \u2192 200 (1.0ms)
2026-06-20 20:41:56,633 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (3.6ms)
2026-06-20 20:41:56,634 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (4.0ms)
2026-06-20 20:41:56,743 | INFO | university_finder | GET /favicon.svg \u2192 200 (8.6ms)
2026-06-20 20:41:56,747 | INFO | university_finder | GET /subscription-plans \u2192 200 (14.5ms)
2026-06-20 20:41:56,749 | INFO | university_finder | GET /auth/me \u2192 200 (14.7ms)
2026-06-20 20:42:27,148 | INFO | university_finder | GET /notifications/unread-count \u2192 200 (2.4ms)
2026-06-20 20:42:56,837 | INFO | university_finder | GET /notifications/unread-count \u2192 200 (2.7ms)
2026-06-20 20:43:32,767 | INFO | university_finder | GET /pricing \u2192 200 (1.0ms)
2026-06-20 20:43:32,790 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (2.4ms)
2026-06-20 20:43:32,791 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (5.1ms)
2026-06-20 20:43:32,930 | INFO | university_finder | GET /subscription-plans \u2192 200 (6.2ms)
2026-06-20 20:43:32,932 | INFO | university_finder | GET /auth/me \u2192 200 (6.7ms)
2026-06-20 20:43:32,940 | INFO | university_finder | GET /favicon.svg \u2192 200 (6.1ms)
2026-06-20 20:43:32,964 | INFO | university_finder | GET /notifications/unread-count \u2192 200 (2.2ms)
2026-06-20 20:43:34,846 | INFO | university_finder | GET /notifications \u2192 200 (2.5ms)
2026-06-20 20:43:36,616 | INFO | university_finder | GET /pricing \u2192 200 (1.0ms)
2026-06-20 20:43:36,641 | INFO | university_finder | GET /assets/index-BAIN98Qn.css \u2192 200 (3.0ms)
2026-06-20 20:43:36,642 | INFO | university_finder | GET /assets/index-B78K2vVA.js \u2192 200 (5.1ms)
